Date;Nb;Indiv;Species;Paire;Essai;Heure;Zone_T;Zone_B;Touche_T;Touche_B;Coucou;Dummy_T;Dummy_B;Dummy_BB;Paires;App_conspe;App_non_conspe;Touch_conspe;Touch_non_conspe
15/02/2023;7;147;theodorus;1;2;11:17;0;8;0;0;oui;1;1;1;1;0;8;0;0
16/02/2023;7;147;theodorus;1;3;09:12;0;0;0;0;oui;1;1;1;1;0;0;0;0
14/02/2023;8;178;theodorus;1;1;10:04;2;4;0;0;oui;1;1;1;1;2;4;0;0
15/02/2023;8;178;theodorus;1;2;12:17;2;2;0;0;oui;1;1;1;1;2;2;0;0
16/02/2023;8;178;theodorus;1;3;10:02;20;12;1;0;oui;1;1;1;1;20;12;1;0
14/02/2023;9;148;theodorus;1;1;10:16;10;0;1;0;oui;1;1;1;1;10;0;1;0
15/02/2023;9;148;theodorus;1;2;11:07;3;4;0;0;oui;1;1;1;1;3;4;0;0
16/02/2023;9;148;theodorus;1;3;10:12;11;19;4;0;oui;1;1;1;1;11;19;4;0
14/02/2023;10;204;theodorus;1;1;10:28;18;29;0;0;oui;1;1;1;1;18;29;0;0
15/02/2023;10;204;theodorus;1;2;12:07;5;1;0;0;oui;1;1;1;1;5;1;0;0
16/02/2023;10;204;theodorus;1;3;10:42;23;28;4;0;oui;1;1;1;1;23;28;4;0
19/02/2023;11;112;theodorus;1;3;10:25;0;0;0;0;non;1;1;2;1;0;0;0;0
17/02/2023;11;112;theodorus;1;1;09:30;10;5;2;0;oui;1;1;2;1;10;5;2;0
18/02/2023;11;112;theodorus;1;2;10:15;2;1;0;0;oui;1;1;2;1;2;1;0;0
17/02/2023;12;177;theodorus;1;1;09:40;7;7;0;0;oui;1;1;2;1;7;7;0;0
18/02/2023;12;177;theodorus;1;2;10:45;11;16;2;2;oui;1;1;2;1;11;16;2;2
19/02/2023;12;177;theodorus;1;3;10:55;7;2;3;0;oui;1;1;2;1;7;2;3;0
17/02/2023;13;149;theodorus;1;1;09:50;4;5;0;0;oui;1;1;2;1;4;5;0;0
18/02/2023;13;149;theodorus;1;2;10:25;8;9;0;1;oui;1;1;2;1;8;9;0;1
19/02/2023;13;149;theodorus;1;3;10:45;7;12;0;4;oui;1;1;2;1;7;12;0;4
17/02/2023;14;108;theodorus;1;1;10:00;2;4;0;0;oui;1;1;2;1;2;4;0;0
18/02/2023;14;108;theodorus;1;2;10:35;7;14;0;0;oui;1;1;2;1;7;14;0;0
19/02/2023;14;108;theodorus;1;3;10:35;7;7;0;0;oui;1;1;2;1;7;7;0;0
17/02/2023;15;111;theodorus;1;1;10:10;0;0;0;0;oui;1;1;2;1;0;0;0;0
